Date,Exercise,Reps,Weight(kg),Duration(s),Distance(m),Incline,Resistance,isWarmup,Note,multiplier
2021-12-25 20:37:21 +0000,Pike Push Up, 9,0.0,0.0,0.0,0.0,0.0,false,, 1.0
2021-12-25 20:37:21 +0000,Walkout, 8,0.0,0.0,0.0,0.0,0.0,false,, 1.0
2021-12-25 20:37:21 +0000,Walkout, 8,0.0,0.0,0.0,0.0,0.0,false,, 1.0
2021-12-25 20:37:21 +0000,Toe Touchers, 10,0.0,0.0,0.0,0.0,0.0,false,, 1.0
2021-12-25 20:37:21 +0000,Toe Touchers, 10,0.0,0.0,0.0,0.0,0.0,false,, 1.0
2021-12-25 20:37:21 +0000,Toe Touchers, 10,0.0,0.0,0.0,0.0,0.0,false,, 1.0
2021-12-25 20:37:21 +0000,Toe Touchers, 10,0.0,0.0,0.0,0.0,0.0,false,, 1.0
2021-12-25 20:37:21 +0000,Toe Touchers, 10,0.0,0.0,0.0,0.0,0.0,false,, 1.0
2021-12-22 00:23:45 +0000,Dumbbell Floor Press, 8,12.473805009480094,0.0,0.0,0.0,0.0,false,, 2.0
2021-12-22 00:23:45 +0000,Dumbbell Floor Press, 8,14.741769556658292,0.0,0.0,0.0,0.0,false,, 2.0
2021-12-22 00:23:45 +0000,Dumbbell Floor Press, 15,17.00973410383649,0.0,0.0,0.0,0.0,false,, 2.0
2021-12-22 00:23:45 +0000,Dumbbell Floor Press, 15,17.00973410383649,0.0,0.0,0.0,0.0,false,, 2.0
2021-12-22 00:23:45 +0000,Dumbbell Romanian Deadlift, 5,12.473805009480094,0.0,0.0,0.0,0.0,false,, 2.0
2021-12-22 00:23:45 +0000,Dumbbell Romanian Deadlift, 5,12.473805009480094,0.0,0.0,0.0,0.0,false,, 2.0
2021-12-22 00:23:45 +0000,Dumbbell Romanian Deadlift, 5,12.473805009480094,0.0,0.0,0.0,0.0,false,, 2.0
2021-12-22 00:23:45 +0000,Dumbbell Romanian Deadlift, 5,12.473805009480094,0.0,0.0,0.0,0.0,false,, 2.0
2021-12-22 00:23:45 +0000,Seated Dumbbell Curl, 12,6.8038936415345965,0.0,0.0,0.0,0.0,false,, 2.0
2021-12-22 00:23:45 +0000,Seated Dumbbell Curl, 12,6.8038936415345965,0.0,0.0,0.0,0.0,false,, 2.0
2021-12-22 00:23:45 +0000,Seated Dumbbell Curl, 12,6.8038936415345965,0.0,0.0,0.0,0.0,false,, 2.0
2021-12-22 00:23:45 +0000,Seated Dumbbell Curl, 12,6.8038936415345965,0.0,0.0,0.0,0.0,false,, 2.0
2021-12-22 00:23:45 +0000,Kettlebell Hang Clean, 8,5.896707822663316,0.0,0.0,0.0,0.0,false,, 4.0
2021-12-22 00:23:45 +0000,Kettlebell Hang Clean, 8,6.8038936415345965,0.0,0.0,0.0,0.0,false,, 4.0
2021-12-22 00:23:45 +0000,Kettlebell Hang Clean, 10,8.164672369841515,0.0,0.0,0.0,0.0,false,, 4.0
2021-12-22 00:23:45 +0000,Kettlebell Hang Clean, 10,8.164672369841515,0.0,0.0,0.0,0.0,false,, 4.0
2021-12-22 00:23:45 +0000,Kettlebell Swing, 12,9.071858188712795,0.0,0.0,0.0,0.0,false,, 1.0
2021-12-22 00:23:45 +0000,Kettlebell Swing, 12,9.071858188712795,0.0,0.0,0.0,0.0,false,, 1.0
2021-12-22 00:23:45 +0000,Kettlebell Swing, 12,9.071858188712795,0.0,0.0,0.0,0.0,false,, 1.0
2021-12-22 00:23:45 +0000,Kettlebell Swing, 12,9.071858188712795,0.0,0.0,0.0,0.0,false,, 1.0
2021-12-22 00:23:45 +0000,Downward Dog Push Up, 9,0.0,0.0,0.0,0.0,0.0,false,, 1.0
2021-12-22 00:23:45 +0000,Downward Dog Push Up, 9,0.0,0.0,0.0,0.0,0.0,false,, 1.0
2021-12-22 00:23:45 +0000,Downward Dog Push Up, 9,0.0,0.0,0.0,0.0,0.0,false,, 1.0
2021-12-22 00:23:45 +0000,Downward Dog Push Up, 9,0.0,0.0,0.0,0.0,0.0,false,, 1.0
2021-12-22 00:23:45 +0000,Jackknife Sit-Up, 8,0.0,0.0,0.0,0.0,0.0,false,, 1.0
2021-12-22 00:23:45 +0000,Jackknife Sit-Up, 8,0.0,0.0,0.0,0.0,0.0,false,, 1.0
2021-12-22 00:23:45 +0000,Jackknife Sit-Up, 8,0.0,0.0,0.0,0.0,0.0,false,, 1.0
2021-12-22 00:23:45 +0000,Jackknife Sit-Up, 8,0.0,0.0,0.0,0.0,0.0,false,, 1.0
2021-12-22 00:23:45 +0000,Jackknife Sit-Up, 8,0.0,0.0,0.0,0.0,0.0,false,, 1.0
2021-12-20 23:02:18 +0000,Burpee, 9,0.0,0.0,0.0,0.0,0.0,false,, 1.0
2021-12-20 23:02:18 +0000,Burpee, 9,0.0,0.0,0.0,0.0,0.0,false,, 1.0
2021-12-20 23:02:18 +0000,Burpee, 9,0.0,0.0,0.0,0.0,0.0,false,, 1.0
2021-12-20 23:02:18 +0000,Burpee, 9,0.0,0.0,0.0,0.0,0.0,false,, 1.0
2021-12-20 23:02:18 +0000,Single Leg Kickback, 8,0.0,0.0,0.0,0.0,0.0,false,, 2.0
2021-12-20 23:02:18 +0000,Single Leg Kickback, 11,0.0,0.0,0.0,0.0,0.0,false,, 2.0
2021-12-20 23:02:18 +0000,Single Leg Kickback, 20,0.0,0.0,0.0,0.0,0.0,false,, 2.0
2021-12-20 23:02:18 +0000,Single Leg Kickback, 20,0.0,0.0,0.0,0.0,0.0,false,, 2.0
2021-12-20 23:02:18 +0000,Push Up on Knees, 19,0.0,0.0,0.0,0.0,0.0,false,, 1.0
2021-12-20 23:02:18 +0000,Push Up on Knees, 19,0.0,0.0,0.0,0.0,0.0,false,, 1.0
2021-12-20 23:02:18 +0000,Push Up on Knees, 19,0.0,0.0,0.0,0.0,0.0,false,, 1.0
2021-12-20 23:02:18 +0000,Push Up on Knees, 19,0.0,0.0,0.0,0.0,0.0,false,, 1.0
2021-12-20 23:02:18 +0000,Kettlebell Windmill, 12,4.082336184920758,0.0,0.0,0.0,0.0,false,, 2.0
2021-12-20 23:02:18 +0000,Kettlebell Windmill, 12,4.082336184920758,0.0,0.0,0.0,0.0,false,, 2.0
2021-12-20 23:02:18 +0000,Kettlebell Windmill, 12,4.082336184920758,0.0,0.0,0.0,0.0,false,, 2.0
2021-12-20 23:02:18 +0000,Kettlebell Windmill, 12,4.082336184920758,0.0,0.0,0.0,0.0,false,, 2.0
2021-12-20 23:02:18 +0000,Dumbbell Hang Power Clean, 8,5.669911367945497,0.0,0.0,0.0,0.0,false,, 2.0
2021-12-20 23:02:18 +0000,Dumbbell Hang Power Clean, 8,5.669911367945497,0.0,0.0,0.0,0.0,false,, 2.0
2021-12-20 23:02:18 +0000,Dumbbell Hang Power Clean, 8,6.8038936415345965,0.0,0.0,0.0,0.0,false,, 2.0
2021-12-20 23:02:18 +0000,Dumbbell Hang Power Clean, 8,6.8038936415345965,0.0,0.0,0.0,0.0,false,, 2.0
2021-12-20 23:02:18 +0000,Single Arm Floor Press, 8,11.339822735890994,0.0,0.0,0.0,0.0,false,, 2.0
2021-12-20 23:02:18 +0000,Single Arm Floor Press, 8,13.607787283069193,0.0,0.0,0.0,0.0,false,, 2.0
2021-12-20 23:02:18 +0000,Single Arm Floor Press, 13,15.87575183024739,0.0,0.0,0.0,0.0,false,, 2.0
2021-12-20 23:02:18 +0000,Single Arm Floor Press, 16,15.87575183024739,0.0,0.0,0.0,0.0,false,, 2.0
2021-12-20 23:02:18 +0000,Dumbbell Side Bend, 12,10.205840462301895,0.0,0.0,0.0,0.0,false,, 2.0
